0,1,2,3,4,5,6,7,8,9
United States,,$,"45,235",,$,"40,553",,$,"23,973"
China,,"21,745",,,"18,145",,,"13,844",
Other international,,"29,793",,,"22,764",,,"16,006",
Total,,$,"96,773",,$,"81,462",,$,"53,823"
