0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Foreign exchange contracts,,,213,,,,(230,),,,249,,,,(332,)
Equity contracts,,,63,,,,(491,),,,165,,,,(400,)
Other contracts,,,12,,,,(3,),,,5,,,,(6,)
