0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Gross amounts of derivatives,,,331,,,,(800,),,,469,,,,(805,)
Gross amounts of derivatives offset in the balance sheets,,,(151,),,,152,,,,(202,),,,206,
Cash collateral received,,,0,,,,(104,),,,0,,,,(125,)
