0,1,2,3,4,5,6,7,8
Net income attributable to common stockholders,$,"14,997",,$,"12,556",,$,"5,519"
Less: Buy-out of noncontrolling interest,(2),,,(27),,,(5),
Net income used in computing basic net income per share of common stock,"14,999",,,"12,583",,,"5,524",
Less: Dilutive convertible debt,—,,,(1),,,(9),
"Net income used in computing diluted net income per share of common
stock",$,"14,999",,$,"12,584",,$,"5,533"
