0,1,2,3,4,5,6,7,8
Cost of revenues,$,741,,$,594,,$,421
Research and development,689,,,536,,,448,
"Selling, general and administrative",382,,,430,,,"1,252",
Total,$,"1,812",,$,"1,560",,$,"2,121"
