0,1,2,3,4,5,6,7,8
Domestic,$,"3,196",,$,"5,524",,$,(130)
Noncontrolling interest and redeemable noncontrolling interest,(23),,,31,,,125,
Foreign,"6,800",,,"8,164",,,"6,348",
Income before income taxes,$,"9,973",,$,"13,719",,$,"6,343"
