0,1,2,3,4,5,6,7,8
Accrued warranty—beginning of period,$,"3,505",,$,"2,101",,$,"1,468"
Warranty costs incurred,"(1,225)",,,(803),,,(525),
"Net changes in liability for pre-existing warranties, including expirations
and foreign exchange impact",539,,,522,,,102,
Provision for warranty,"2,333",,,"1,685",,,"1,056",
Accrued warranty—end of period,$,"5,152",,$,"3,505",,$,"2,101"
