0,1,2,3,4,5
2024,$,"1,405",,$,227
2025,960,,,214,
2026,461,,,210,
2027,227,,,102,
2028,197,,,25,
Thereafter,"1,492",,,2,
Gross lease receivables,$,"4,742",,$,780
