0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Total debt,,,,,,,,,,,,,"44,937",,,,"47,237",
Current portion of long-term debt,,,,,,,,,,,,,"(2,249",),,,"(5,247",)
