0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
"Selling, general and administrative","$ 4,800",,"$ 3,946",,,$,"4,517",,,$,854,,22,%,,$,(571),(13),%
As a percentage of revenues,5,%,5,%,,8,,%,,,,,,,,,,,
