0,1,2,3,4
Gigafactory Texas,,"Austin, Texas",,Owned
Fremont Factory,,"Fremont, California",,Owned
Gigafactory Nevada,,"Sparks, Nevada",,Owned
Gigafactory Berlin-Brandenburg,,"Grunheide, Germany",,Owned
Gigafactory Shanghai,,"Shanghai, China",,*
Gigafactory New York,,"Buffalo, New York",,Leased
Megafactory,,"Lathrop, California",,Leased
